0,259
1,14
2,103
3,307
4,283
5,232
6,202
7,207
8,215
9,250
10,289
11,377
12,539
13,851
14,1065
15,1421
16,1765
17,1763
18,2241
19,2076
20,2234
21,1938
22,2024
23,1738
24,1757
25,1460
26,1499
27,1167
28,1126
29,1093
30,874
31,844
32,782
33,629
34,638
35,609
36,556
37,491
38,443
39,498
40,389
41,363
42,338
43,327
44,357
45,316
46,301
47,263
48,245
49,287
50,287
51,235
52,232
53,257
54,224
55,219
56,217
57,212
58,200
59,204
60,195
61,189
62,173
63,171
64,172
65,186
66,177
67,165
68,160
69,169
70,184
71,180
72,168
73,139
74,110
75,158
76,131
77,150
78,135
79,144
80,143
81,142
82,164
83,132
84,141
85,141
86,128
87,148
88,145
89,170
90,139
91,114
92,124
93,146
94,138
95,125
96,146
97,127
98,123
99,127
100,113
101,136
102,120
103,113
104,147
105,132
106,136
107,129
108,144
109,134
110,136
111,112
112,110
113,119
114,105
115,118
116,130
117,127
118,178
119,148
120,125
121,116
122,141
123,144
124,129
125,130
126,125
127,115
128,127
129,81
130,114
131,107
132,148
133,106
134,111
135,129
136,97
137,96
138,115
139,116
140,124
141,115
142,121
143,90
144,101
145,93
146,83
147,90
148,82
149,89
150,91
151,87
152,93
153,99
154,88
155,113
156,82
157,81
158,87
159,66
160,98
161,71
162,72
163,67
164,74
165,87
166,78
167,82
168,52
169,82
170,67
171,64
172,62
173,73
174,98
175,58
176,52
177,47
178,65
179,61
180,53
181,53
182,60
183,71
184,60
185,48
186,57
187,54
188,43
189,40
190,50
191,59
192,49
193,40
194,34
195,56
196,37
197,40
198,39
199,65
200,36
201,36
202,38
203,44
204,35
205,33
206,48
207,44
208,40
209,18
210,40
211,33
212,33
213,30
214,36
215,29
216,21
217,27
218,47
219,30
220,31
221,41
222,32
223,26
224,27
225,37
226,24
227,23
228,27
229,29
230,21
231,19
232,34
233,21
234,14
235,31
236,16
237,10
238,29
239,32
240,22
241,18
242,38
243,18
244,22
245,44
246,28
247,21
248,43
249,36
250,20
251,32
252,59
253,53
254,36
